date,vw
2014-01-31,-0.0435127722073147
2014-02-28,0.01923710417884276
2014-03-31,0.002667060585014067
2014-04-30,-0.006863162070882226
2014-05-30,0.030302266320730617
2014-06-30,0.03215080530918248
2014-07-31,0.021840218387285195
2014-08-29,-0.011839640947987775
2014-09-30,-0.03641353896613268
2014-10-31,0.008397355326879094
2014-11-28,-0.00935263680735788
2014-12-31,-0.013952640197414906
2015-01-30,0.01878321379778549
2015-02-27,0.04818526601732748
2015-03-31,0.008499669978513223
2015-04-30,0.04339153971251602
2015-05-29,-0.00048766076898099434
2015-06-30,-0.0244906221800913
2015-07-31,-0.00576394073078076
2015-08-31,-0.07545156150749388
2015-09-30,-0.05303131617415789
2015-10-30,0.08861270730382027
2015-11-30,-0.010329047446440847
2015-12-31,0.00995863526575407
2016-01-29,-0.08064196513267868
2016-02-29,-0.013551074912702174
2016-03-31,0.06865785126476041
2016-04-29,0.03163972673896205
2016-05-31,-0.01395523332003342
2016-06-30,-0.010704338215011143
2016-07-29,0.061257622995472064
2016-08-31,0.0008252666820156799
2016-09-30,0.018147197670931974
2016-10-31,0.002186694308238245
2016-11-30,-0.01938349476549439
2016-12-30,0.00418390562482898
2017-01-31,0.044008808681718345
2017-02-28,0.02021223374765484
2017-03-31,0.007494005023622635
2017-04-28,0.006950162811556661
2017-05-31,0.021554390327776528
2017-06-30,0.01178570751475719
2017-07-31,0.029101810893940608
2017-08-31,0.0009691910932250903
2017-09-29,0.009006922539495404
2017-10-31,0.03591515536865918
2017-11-30,0.024265244978447877
2017-12-29,0.011116717346631944
2018-01-31,0.04749331140662422
2018-02-28,-0.02305592766770853
2018-03-30,-0.02544824223105958
2018-04-30,0.011847365533356233
2018-05-31,-0.008392158080193014
2018-06-29,-0.022654471138383037
2018-07-31,0.01074350619689626
2018-08-31,-0.006412787347662502
2018-09-28,0.01910154098447456
2018-10-31,-0.08410320768199933
2018-11-30,0.015171950406803747
2018-12-31,-0.0506157077243855
2019-01-31,0.060708130236506494
2019-02-28,0.011952649320448797
2019-03-29,0.010925846534202926
2019-04-30,0.014664674766271188
2019-05-31,-0.039074686956954395
2019-06-28,0.043944832909084144
2019-07-31,-0.002964148500095511
2019-08-30,-0.02647841303720931
2019-09-30,0.02969831839530101
2019-10-31,0.04160799958834435
2019-11-29,0.0016866094024951491
2019-12-31,0.024643256686344314
2020-01-31,-0.017955842627167873
2020-02-28,-0.08273695855552066
2020-03-31,-0.10756813403290805
2020-04-30,0.06538730599079394
2020-05-29,0.036090180848006664
2020-06-30,0.020630057000006582
2020-07-31,-0.007512856218365385
2020-08-31,0.06459253734982312
2020-09-30,-0.01168860098102131
2020-10-30,-0.012329619206600573
2020-11-30,0.13065231586517784
2020-12-31,0.04442105359127855
2021-01-29,-0.004834193234097343
2021-02-26,0.023294916353885104
2021-03-31,0.015390884931859127
2021-04-30,-0.000764731827599144
2021-05-31,0.020952300431233573
2021-06-30,-0.008606336456252816
2021-07-30,-0.016385630144915862
2021-08-31,0.02354395082826304
2021-09-30,0.010862565309122895
2021-10-29,-0.011143856854441931
2021-11-30,-0.035693279404749506
2021-12-31,0.02832434408473124
2022-01-31,-0.03679454983007664
2022-02-28,0.001137567847603244
2022-03-31,0.015780629296833815
2022-04-29,-0.06813256810162696
2022-05-31,0.008228927512230753
2022-06-30,-0.07138377843269311
2022-07-29,0.04318699837685748
2022-08-31,-0.01990349648981729
2022-09-30,-0.09863899647848878
2022-10-31,0.015425737359738442
2022-11-30,0.10641780522277844
2022-12-30,0.0017777579688077866
2023-01-31,0.06512673637150526
2023-02-28,-0.044365654185774664
2023-03-31,0.028554106308246556
2023-04-28,0.005535858460103214
2023-05-31,-0.007348442236367958
2023-06-30,0.04297164499295828
2023-07-31,0.03509416732585211
2023-08-31,-0.03164984443105439
2023-09-29,-0.018810282097327807
2023-10-31,-0.04825636483623903
2023-11-30,0.06894481561735469
2023-12-29,0.050049679789197624
2024-01-31,0.021672805384166913
2024-02-29,0.02632095108614556
2024-03-29,0.024028225714981345
2024-04-30,-0.0339161457847189
2024-05-31,0.011583530047137426
2024-06-28,-0.006434992285833734
2024-07-31,0.04756563171259096
2024-08-30,0.014642903129248593
2024-09-30,0.019890195856482672
2024-10-31,-0.04318347309002739
2024-11-29,0.004745351607773441
2024-12-31,-0.010882013730575504
2025-01-31,0.01614389796681927
2025-02-28,-0.009231806740792253
2025-03-31,0.004197166992995223
2025-04-30,0.05342495035422115
2025-05-30,0.03808335822996127
2025-06-30,0.021567190618711388
2025-07-31,-0.0015343275112303344
2025-08-29,0.061050036767067085
2025-09-30,0.019648447778718617
2025-10-31,0.026027364799115323
2025-11-28,-0.006689267283575823
2025-12-31,0.007572332506971384
